imdb_id,title,release_date,original_language,genres,runtime,vote_average,overview,primaryName,primaryProfession
tt0094164,Too Much,1987-06-01,en,"['Comedy', 'Science Fiction']",89,7.0,"When Suzie and her parents take a visit to Japan her father's business partner, an inventor called Tetsuro decides to make Suzie a robot. The robot's name is 'Too Much' (or TM for short) and he and Suzie become the best of friends. But when the day comes for Suzie to return home she finds she's not allowed to take TM with her, so they run away together. However, they must watch out for a rival inventor of Tetsuro's is looking for them so that he can examine TM's programming. Will TM and Suzie manage to escape from his clutches and prove that love conquers all?",Masato Fukazama,actor
tt0094164,Too Much,1987-06-01,en,"['Comedy', 'Science Fiction']",89,7.0,"When Suzie and her parents take a visit to Japan her father's business partner, an inventor called Tetsuro decides to make Suzie a robot. The robot's name is 'Too Much' (or TM for short) and he and Suzie become the best of friends. But when the day comes for Suzie to return home she finds she's not allowed to take TM with her, so they run away together. However, they must watch out for a rival inventor of Tetsuro's is looking for them so that he can examine TM's programming. Will TM and Suzie manage to escape from his clutches and prove that love conquers all?",Bridgette Andersen,"actress,soundtrack"
tt0081729,A Sweet Journey,1980-01-04,fr,"['Drama', 'Comedy']",98,6.8,"Lucia and Elena are best friends since childhood. They take a car trip from Paris to the country. Their conversations are overtly intimate, but more revealing is their tacit understanding of each others' personality and desires.",Dominique Sanda,"actress,archive_footage,archive_sound"
tt0081729,A Sweet Journey,1980-01-04,fr,"['Drama', 'Comedy']",98,6.8,"Lucia and Elena are best friends since childhood. They take a car trip from Paris to the country. Their conversations are overtly intimate, but more revealing is their tacit understanding of each others' personality and desires.",Geraldine Chaplin,"actress,writer,soundtrack"
tt0078377,The Witness,1978-09-20,fr,"['Crime', 'Drama']",90,6.933,"An Italian painter, Antonio Berti, pays a visit to Reims to his friend Robert Maurisson, a banker with political views on the town hall, who hides, under an affable air and an irreproachable dignity, a libertine and cynical temperament. Charged by the notable with the restoration of paintings exhibited in the cathedral, the artist calls on Cathy, a young girl from the choir, to serve as his model. The young girl will be found dead a few hours after their interview, near one of Robert's properties.",Alberto Sordi,"actor,writer,miscellaneous"
tt0078377,The Witness,1978-09-20,fr,"['Crime', 'Drama']",90,6.933,"An Italian painter, Antonio Berti, pays a visit to Reims to his friend Robert Maurisson, a banker with political views on the town hall, who hides, under an affable air and an irreproachable dignity, a libertine and cynical temperament. Charged by the notable with the restoration of paintings exhibited in the cathedral, the artist calls on Cathy, a young girl from the choir, to serve as his model. The young girl will be found dead a few hours after their interview, near one of Robert's properties.",Philippe Noiret,"actor,miscellaneous,writer"
tt0097038,The Challengers,1990-10-14,fr,"['Drama', 'Family', 'TV Movie']",97,7.7,"After her father dies and she moves to a new town, Mackie wants to join a certain gang/band. But they've got this boys-only rule. So Mackie comes up with an audacious plan...only it begins to backfire.",Gwynyth Walsh,"actress,producer,miscellaneous"
tt0097038,The Challengers,1990-10-14,fr,"['Drama', 'Family', 'TV Movie']",97,7.7,"After her father dies and she moves to a new town, Mackie wants to join a certain gang/band. But they've got this boys-only rule. So Mackie comes up with an audacious plan...only it begins to backfire.",Eric Christmas,"actor,soundtrack,archive_footage"
tt0087489,It Came Upon the Midnight Clear,1984-12-15,en,"['TV Movie', 'Drama']",97,6.2,"A man suddenly dies and makes a deal with the Archangel of Heaven to return to Earth for a week until Christmas, to show his grandson what a real white Christmas in New York is like.",Mickey Rooney,"actor,producer,director"
tt0087489,It Came Upon the Midnight Clear,1984-12-15,en,"['TV Movie', 'Drama']",97,6.2,"A man suddenly dies and makes a deal with the Archangel of Heaven to return to Earth for a week until Christmas, to show his grandson what a real white Christmas in New York is like.",Scott Grimes,"actor,composer,music_department"
tt0076706,Short Eyes,1977-09-28,en,['Drama'],100,6.879,"A young man who is charged with child molestation is placed in New York City’s infamous Tombs prison. When the other inmates in his cell block find out what he is charged with, life becomes extremely difficult for him.",Bruce Davison,"actor,director,producer"
