imdb_id,production_countries,genres,budget,original_language,original_title,overview,popularity,poster_path,release_date,revenue,runtime,spoken_languages,status,title,vote_average,vote_count,production_companies_name,actor,director,poster_url
tt0104805,['US'],"['Comedy', 'Drama']",0,en,The Man Upstairs,"Hepburn plays an elderly woman whose house becomes a hideaway for an escaped convict (O'Neal), and the pair strike up an unlikely friendship.",1.4,/taPgQSMrv8giD3mn2B91hVAQvGZ.jpg,1992-12-06,0,91,['en'],Released,The Man Upstairs,6.0,1,['Burt Reynolds Productions'],"Katharine Hepburn, Ryan O'Neal",George Schaefer,https://image.tmdb.org/t/p/original/taPgQSMrv8giD3mn2B91hVAQvGZ.jpg
tt0082990,['US'],"['Action', 'Drama', 'TV Movie']",0,en,Return of the Rebels,"An aging motorcycle gang assembles for a 25-year reunion to help out former member Mary Beth, a widowed operator of a popular campground which is being threatened by a band of arrogant groupies.",0.6,/9OAbiozVeAAQcw1lUVZ7mzHL9S9.jpg,1981-10-17,0,100,['en'],Released,Return of the Rebels,7.5,3,"['Filmways Television', 'Moonlight Productions', 'CBS Entertainment Productions']","Barbara Eden, Don Murray",Noel Nosseck,https://image.tmdb.org/t/p/original/9OAbiozVeAAQcw1lUVZ7mzHL9S9.jpg
tt0093722,['US'],"['Crime', 'Drama', 'Mystery', 'TV Movie']",0,en,Perry Mason: The Case of the Lost Love,Perry must defend the husband of an old flame from a murder charge.,2.723,/bGjA461x31RPnYKz0bHqeishf0E.jpg,1987-02-23,0,96,['en'],Released,Perry Mason: The Case of the Lost Love,7.5,6,"['Viacom Productions', 'Fred Silverman Company', 'Strathmore Productions', 'Dean Hargrove Productions']","Raymond Burr, Barbara Hale",Ron Satlof,https://image.tmdb.org/t/p/original/bGjA461x31RPnYKz0bHqeishf0E.jpg
tt0093723,['US'],"['Mystery', 'Drama', 'Crime', 'TV Movie']",0,en,Perry Mason: The Case of the Murdered Madam,Perry investigates the murder of a former madam and uncovers a multimillion dollar banking fraud in the process.,1.504,/cqMxAkGUVHqQSyNABT5rFHH5qau.jpg,1987-10-04,0,95,['en'],Released,Perry Mason: The Case of the Murdered Madam,6.6,7,"['Viacom Productions', 'Fred Silverman Company', 'Strathmore Productions']","Raymond Burr, Barbara Hale",Ron Satlof,https://image.tmdb.org/t/p/original/cqMxAkGUVHqQSyNABT5rFHH5qau.jpg
tt0095854,['US'],"['Mystery', 'Drama', 'Crime', 'TV Movie']",0,en,Perry Mason: The Case of the Avenging Ace,"Mason defends a man he had sentenced to prison when he was an appellate-court judge. Now, 18 months after the sentencing, a new witness turns up to prove the man's innocence. Mason steps in to defend the man.",2.097,/zXVyhn6auodd72610h7MhrMJVKX.jpg,1988-02-28,0,91,['en'],Released,Perry Mason: The Case of the Avenging Ace,7.2,6,"['Viacom Productions', 'Fred Silverman Company', 'Strathmore Productions']","Raymond Burr, Barbara Hale",Christian I. Nyby II,https://image.tmdb.org/t/p/original/zXVyhn6auodd72610h7MhrMJVKX.jpg
tt0102658,['US'],"['Mystery', 'Drama', 'Crime', 'TV Movie']",0,en,Perry Mason: The Case of the Fatal Fashion,Della's friend is accused of murdering a rival fashion magazine editor.,2.741,/hQTL8g2dfaebE7NNvncuQUNptz.jpg,1991-09-24,0,95,['en'],Released,Perry Mason: The Case of the Fatal Fashion,7.5,6,"['Viacom Productions', 'Dean Hargrove Productions', 'Fred Silverman Company']","Raymond Burr, Barbara Hale",Christian I. Nyby II,https://image.tmdb.org/t/p/original/hQTL8g2dfaebE7NNvncuQUNptz.jpg
tt0107813,['US'],"['Drama', 'TV Movie', 'Mystery', 'Crime']",0,en,Perry Mason: The Case of the Telltale Talk Show Host,"Dr Sheila Carlin is good friends with Della who calls Perry in when she is being pestered by someone. On the theory that it could be somebody that she works with at a radio stations she arranges Perry to be interviewed by Winslow Keene who is also the station's owner. Winslow enrages the rest of the talk show hosts on the station by informing them of changes that he is making to their time slots. That night, Winslow is shot by a hit man hired by someone at the station and Sheila is set up for the murder. She calls in Perry and as usual Perry, Della and Ken swing into action to find out who really did it.",2.293,/9RGyO0Ybm0hoEZJOndgI1jPio8U.jpg,1993-05-21,0,96,['en'],Released,Perry Mason: The Case of the Telltale Talk Show Host,7.1,7,"['Viacom Productions', 'Dean Hargrove Productions', 'Fred Silverman Company']","Raymond Burr, Barbara Hale",Christian I. Nyby II,https://image.tmdb.org/t/p/original/9RGyO0Ybm0hoEZJOndgI1jPio8U.jpg
tt0102174,['US'],['Drama'],0,en,Jumpin' at the Boneyard,"Manny tries to get his crack addict brother, Danny, to clean up.",1.739,/zsfmHzlblEOC9iU0oNB99YtIEpj.jpg,1991-11-01,0,107,['en'],Released,Jumpin' at the Boneyard,6.688,8,['20th Century Fox'],"Tim Roth, Alexis Arquette",Jeff Stanzler,https://image.tmdb.org/t/p/original/zsfmHzlblEOC9iU0oNB99YtIEpj.jpg
tt0091749,['US'],"['Mystery', 'Drama', 'Crime', 'TV Movie']",0,en,Perry Mason: The Case of the Notorious Nun,A priest is murdered and the main suspect is a nun.,2.227,/nsQsEUSc42bfWyu6yHzLPfAXUMO.jpg,1986-05-29,0,100,['en'],Released,Perry Mason: The Case of the Notorious Nun,6.8,11,"['Strathmore Productions', 'InterMedia Entertainment Company', 'Viacom Productions']","Raymond Burr, Barbara Hale",Ron Satlof,https://image.tmdb.org/t/p/original/nsQsEUSc42bfWyu6yHzLPfAXUMO.jpg
tt0078008,['US'],['Drama'],0,en,Northern Lights,"The bitter-sweet story of young lovers caught up in a political struggle waged by farmers against the grain trade, the banks, and the railroads. Set in North Dakota during 1915-16, a largely forgotten era of American history.",0.6,/cUYGdOtqOUBUFu3wCYXXGJbWPEE.jpg,1978-11-17,0,95,['en'],Released,Northern Lights,6.5,4,[],"Robert Behling, Susan Lynch","John Hanson, Rob Nilsson",https://image.tmdb.org/t/p/original/cUYGdOtqOUBUFu3wCYXXGJbWPEE.jpg
